BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
15450240,1643999529,0.497909452,1,1,1,1,32,2777,67,1,118,1517,3069,27,1
15450240,1653031144,0.43110161,1,0,0,1,124,2270,17,1,108,2898,3852,50,0
6325163,1524641938,0,1,0,0,1,38,1484,60,2,106,1396,3314,22,0
15450240,1661999151,0.496817946,1,1,1,1,66,1435,53,3,77,1532,4338,61,1
5897466,1527355983,0.024574345,0,0,0,1,65,1329,43,1,36,1508,1894,0,0
15125075,1658439430,0.443257985,1,1,1,1,48,1570,67,1,86,1435,4699,56,1
15450240,1658287104,0,1,0,0,1,119,2293,75,1,69,1403,2531,56,0
5468684,1524145611,0.522304023,1,0,0,1,75,1680,70,1,46,1008,1489,25,1
6118620,1524145611,0,1,1,0,1,42,1649,37,1,104,1316,2441,50,1
15450240,1661999151,0.564773853,1,1,1,1,110,1979,37,1,294,1646,4815,50,1
5827934,1524145611,0.00768658,1,0,0,1,69,1578,89,3,36,1543,3583,26,0
5476985,1524145611,0.009811977,1,0,0,1,34,1569,75,2,43,955,2443,56,0
15450240,1524145611,0,1,0,1,1,40,1662,46,1,116,1237,2548,0,0
15450240,1655202118,0.593841005,1,1,1,1,37,1581,66,1,69,1439,5849,59,1
6532429,1656668950,0,1,0,0,0,118,1905,49,3,68,2231,5811,25,0
15450240,1524145611,0,1,1,1,1,40,1018,53,3,75,1368,2873,56,1
5687477,1537451610,0,0,0,0,1,42,916,53,2,67,1306,3045,24,0
5558246,1524145611,0,0,0,0,1,71,1523,67,1,80,1608,1684,0,0
6024911,1637334272,0.537456091,1,1,1,1,68,1694,67,1,58,1436,2866,29,0
5844312,1524145611,0,1,0,0,1,72,1056,53,2,44,1422,3531,0,0
15450240,1659503463,0.443041584,1,0,0,1,35,1088,49,1,105,1585,3993,53,0
5645742,1524378595,0,1,0,1,1,62,2233,62,3,56,1734,4982,28,0
14149298,1645929779,0.524706749,0,1,0,1,62,1576,45,1,79,2767,3038,51,0
15450240,1630372504,0.450450837,1,1,1,1,44,2851,35,1,88,2311,5026,54,1
15450240,1634544357,0,0,0,0,1,116,1079,24,3,112,2522,5088,29,0
5881564,1529431973,0,1,1,0,1,30,898,61,2,97,1054,5979,52,0
5957418,1530053874,0,1,0,0,1,30,1239,52,2,93,1303,2366,27,0
5997703,1524145611,0,0,0,0,1,108,904,59,3,113,1449,1196,52,0
15450240,1661999151,0.010656987,1,1,0,1,43,1685,61,1,191,1704,3346,60,1
5874096,1524145611,0,1,0,0,1,47,782,74,3,99,2505,3223,53,0
5942112,1524145611,0,1,0,0,0,37,961,83,2,30,1653,2018,0,0
6115133,1524145611,0,1,0,0,1,30,1001,28,1,108,1446,3266,55,0
5468684,1528434004,0,1,0,0,1,35,1307,81,1,104,1703,5568,53,0
15450240,1643995617,0.482694632,1,1,1,1,189,2542,77,1,224,3060,5087,53,1
15450240,1661999151,0.465958677,1,1,1,1,76,2933,74,1,97,1334,5259,57,1
15450240,1653154816,0.519823074,1,1,1,1,77,1454,47,1,109,1871,6272,52,1
11886660,1558339923,0,1,0,0,0,107,1568,63,2,111,2927,2586,54,0
15450240,1647042339,0.010072053,1,0,0,0,43,992,27,2,119,1594,2075,55,0
15450240,1661999151,0.543178839,1,1,1,1,71,2671,76,1,104,2692,4697,49,1
15450240,1643646701,0.493494272,0,1,1,1,125,2584,40,2,133,1538,2452,50,1
6511945,1524145611,0,1,0,0,0,44,1523,61,2,63,1729,2116,0,0
15450240,1646696936,0.519555939,1,0,1,0,189,1626,46,1,92,2688,5086,53,1
6092598,1524145611,0,1,0,0,0,59,950,52,2,40,1818,2119,0,0
6377950,1524145611,0,1,0,0,1,44,1529,44,2,82,1642,3108,0,0
6395133,1524145611,0,1,1,1,1,38,1639,52,2,107,1537,1630,58,0
15450240,1660732732,0.547509705,1,1,1,0,67,2450,77,3,124,1093,5453,52,1
5827448,1524145611,0,0,0,0,1,54,2663,74,3,100,1349,2182,0,0
15024326,1661999151,0.442826592,1,1,1,1,98,1638,27,1,53,2770,5084,52,1
6123729,1656679495,0,1,1,1,1,102,1165,45,2,41,1320,4666,26,1
15450240,1645150849,0,1,1,1,1,37,2310,50,1,78,1572,2343,26,1
15450240,1618266353,0,0,0,1,1,31,1565,81,2,88,1374,3089,25,0
15450240,1524145611,0.522295041,1,1,1,1,107,2879,65,1,57,2586,4097,52,1
5579392,1524145611,0,1,0,0,1,33,1062,59,2,52,1806,2123,22,0
13294615,1524145611,0,1,0,0,0,40,1006,17,2,111,1450,2632,29,0
15450240,1648547383,0.551311931,1,1,1,1,125,1748,79,1,97,2758,5289,55,1
6211146,1525216883,0,1,0,0,1,30,885,55,1,52,1747,2821,29,0
6307974,1527719135,0,1,0,0,1,39,1080,72,2,63,1577,3599,25,0
15450240,1660026488,0.469047722,1,1,1,1,44,3430,42,1,95,1681,4109,52,1
6189578,1655160987,0,1,0,0,1,36,1167,84,2,73,2062,3592,54,0
6484996,1524145611,0.029701472,1,0,0,1,39,1729,60,1,106,1339,3313,27,0
15450240,1661999151,0.503089834,1,1,1,1,117,1808,75,1,88,1713,5762,51,1
6484898,1524145611,0,1,0,0,1,56,1339,418,3,99,1338,1555,0,0
6073194,1524430960,0.003764374,0,0,0,1,44,817,70,2,88,1734,3526,0,0
5472883,1525602488,0,1,0,0,0,74,1588,59,1,96,1381,1858,23,0
5592310,1526402392,0,1,1,1,1,98,2714,78,2,92,1468,3710,29,1
5869786,1524145611,0.017561129,1,0,0,1,36,1349,77,2,87,1624,2939,24,0
5557790,1524145611,0,1,0,0,1,45,1706,64,2,65,1551,3381,26,0
5961966,1524145611,0,1,0,1,1,65,1597,75,2,111,1310,2736,0,1
15450240,1656095835,0.489762678,1,0,1,1,112,3850,62,1,73,1669,4498,50,1
5468684,1524145611,0,1,0,0,0,30,1064,48,2,90,1401,3599,0,0
5890418,1525897991,0,0,0,0,1,30,1567,60,3,75,1389,2938,0,0
5468684,1524552012,0,0,0,0,1,49,1063,64,3,93,1496,1794,0,0
15450240,1652349393,0.550223215,1,1,1,1,104,2690,84,1,108,2336,6081,59,1
6652485,1524145611,0.005335963,1,0,0,0,42,1045,45,2,99,1563,921,25,0
6187021,1524145611,0,1,0,0,0,36,1149,55,2,37,2397,1761,0,0
5468684,1526084294,0,1,0,0,1,30,633,74,2,43,1374,1334,27,0
15450240,1653002307,0,1,1,0,1,49,2714,46,2,124,1677,6661,25,0
5682904,1524145611,0,0,0,0,1,34,1617,32,3,63,1645,2436,1,0
15325328,1524145611,0.49550409,1,1,1,1,135,3850,56,1,143,1394,6125,23,1
15450240,1661999151,0.419297841,1,1,1,1,84,2521,67,1,102,1634,5954,53,1
5787090,1653972931,0,1,0,1,1,158,1026,40,1,82,1555,3459,30,1
6006479,1524145611,0,1,0,0,1,42,1430,81,2,74,1612,1829,23,0
5688199,1527300275,0,1,0,0,1,71,897,51,1,116,2391,3465,0,0
15450240,1526122644,0,1,0,0,1,43,1757,73,2,77,1515,1748,25,0
14100214,1653893004,0.437112686,1,1,1,1,101,1616,42,3,94,1537,3514,55,1
5620257,1646868278,0,1,0,0,1,43,3231,54,1,101,1515,921,22,0
6252750,1524579133,0,1,0,0,0,37,1577,65,2,105,1613,1583,28,0
5811194,1524145611,0,1,0,0,1,41,1004,81,2,59,1435,1571,26,0
15450240,1524145611,0.485771968,1,1,1,1,111,1166,63,2,91,1628,5026,26,1
6086288,1525621336,0.014013447,0,0,0,1,44,1662,54,2,52,1563,2264,28,0
12466646,1524145611,0,1,0,0,0,43,1154,54,1,92,1214,1717,54,0
15450240,1658027281,0,1,1,1,1,115,3036,68,1,114,3028,5747,52,1
5549089,1526640355,0.000806892,0,0,0,1,35,1421,54,3,66,1607,2448,0,0
6140725,1524145611,0,1,0,0,0,40,1409,47,2,55,1339,1516,0,0
15450240,1653388850,0.426780935,1,1,1,1,43,1883,65,1,37,2918,3124,51,1
15450240,1641776616,0.547742602,1,1,1,1,116,2441,76,1,91,2213,6430,59,1
6115142,1524145611,0,1,0,0,0,51,1897,30,2,38,1721,1591,32,0
5468684,1524145611,0.609540985,1,0,0,0,48,1875,61,1,45,1496,4012,25,0
15450240,1661311170,0.396534995,0,0,0,1,40,1833,76,1,65,1356,4149,26,0
15450240,1661615701,0.436105556,0,0,0,1,40,998,78,3,278,1621,4676,50,1
15450240,1661999151,0.488100986,1,1,1,1,61,1046,35,1,89,1426,4581,58,1
5468684,1524145611,0.00967576,0,0,0,1,50,1192,64,2,104,1327,1329,24,0
6020656,1524145611,0,1,0,0,1,47,2904,46,2,114,1494,3097,24,0
6577581,1661921579,0.536885679,1,1,1,1,68,1126,47,1,101,3057,4392,61,1
15450240,1642886199,0.489690507,1,1,1,1,96,2139,64,2,113,1568,2592,64,1
5861268,1524145611,0,1,0,0,1,36,1726,34,2,97,1436,5270,0,1
15450240,1648808088,0.512350386,1,1,1,1,46,1716,37,1,100,1730,4281,0,1
5917864,1524145611,0,1,0,1,1,142,1032,50,2,84,1359,2466,26,0
5665712,1524145611,0,1,0,0,0,44,1405,87,2,63,1591,1844,0,0
15450240,1645788127,0.464354589,1,1,1,1,36,1569,43,1,95,1676,6195,57,1
5788842,1524145611,0,1,0,0,1,56,2180,51,1,83,1427,3059,27,0
14987808,1648001260,0.465896128,1,1,1,1,69,2457,27,3,109,2203,3338,48,1
14705507,1524145611,0,1,1,0,1,39,976,47,1,80,1350,2054,0,0
5468684,1524145611,0,1,0,0,1,31,1417,85,3,45,1388,3333,0,0
15450240,1652966470,0.499437146,1,1,1,1,107,1759,44,1,105,1514,3570,33,1
14417866,1524145611,0,1,0,1,1,70,902,68,1,49,1558,2554,26,0
5682651,1524145611,0,1,0,0,1,42,978,67,1,101,1604,2793,23,0
15450240,1647154301,0.416564064,1,1,1,1,180,3850,62,1,91,2825,5766,53,1
15450240,1661999151,0.450214737,0,0,0,1,125,1237,55,1,55,1353,4663,52,1
5956303,1659005981,0,1,0,0,0,33,1637,32,1,115,2416,5433,31,0
15450240,1598231762,0.48897968,1,1,0,1,30,1857,17,1,50,1589,3293,25,0
15450240,1653393845,0.553996213,1,1,1,1,94,2643,35,3,98,2095,2438,60,1
15450240,1524145611,0,1,0,0,1,47,1021,58,2,141,1156,2266,25,0
5468684,1524145611,0,1,0,0,0,34,1013,54,3,50,1316,3123,61,0
5757018,1524145611,0.477658721,1,0,0,1,73,1458,91,1,83,2479,2463,24,0
15450240,1646095181,0.481489755,1,1,1,1,123,1656,54,1,96,1506,3387,30,0
6190407,1524145611,0,0,0,0,1,30,1702,73,1,94,1227,2392,0,0
15450240,1624309033,0,1,1,0,1,35,1085,71,2,63,1555,4291,29,0
6290945,1524145611,0,1,0,1,1,62,695,88,2,85,1423,2360,0,0
5549963,1524145611,0,0,0,0,1,41,2452,82,2,56,1555,2707,57,0
15450240,1524145611,0.00090644,1,1,1,1,76,993,73,1,80,1328,2544,52,1
15240446,1570103462,0.485670952,1,1,0,1,113,1708,34,2,88,1447,2124,50,0
5468684,1524145611,0,1,0,0,1,59,1327,78,2,96,1671,2757,23,0
5968403,1524145611,0,1,0,1,1,30,1429,64,1,30,1069,1913,58,1
6051369,1524145611,0.002672102,0,0,0,1,55,3850,74,3,71,1648,3363,0,0
6128476,1525803882,0,0,0,0,1,31,1706,40,2,46,1807,2730,25,0
15450240,1643847561,0.527382429,1,1,0,1,96,1296,45,1,36,2930,3793,58,1
15450240,1661999151,0.459589755,1,0,0,0,41,3093,31,1,102,1185,5287,52,0
14925487,1640757644,0.470292979,1,1,1,1,79,3850,89,1,30,2290,921,49,1
6190383,1529436062,0,1,0,0,1,30,1118,52,2,90,1417,3264,0,0
5468684,1530291005,0,0,0,0,1,33,1632,69,2,91,1557,2387,24,0
5653417,1527124853,0.021173762,0,0,0,1,35,1111,52,2,104,1518,2875,0,0
6142714,1524145611,0,1,0,0,0,43,1574,57,2,46,1535,1798,0,0
15450240,1640694991,0.493972379,1,1,1,1,59,3850,67,1,73,1474,4287,53,1
5685035,1526728069,0,1,0,0,1,46,1045,75,1,86,1470,2884,0,0
5769487,1524145611,0.022080319,1,0,0,1,56,1584,56,3,109,1185,2878,32,1
15450240,1524145611,0,1,1,0,1,37,1565,57,1,87,2475,4030,62,1
15450240,1524145611,0.524453774,1,1,0,1,124,875,155,3,141,1540,3668,54,1
13578254,1661999151,0.008538858,0,1,0,1,93,1447,44,3,76,1529,4450,59,0
5574378,1527773165,0,1,0,0,1,110,1657,50,1,92,1354,3037,29,1
5904964,1642670514,0.513629548,1,0,1,1,189,1704,52,1,50,1489,2631,62,1
13997890,1644050319,0.491476815,1,1,0,1,54,2618,24,1,93,1411,2809,24,0
6001285,1524145611,0,1,0,0,1,41,1193,46,3,86,2271,2016,29,0
14712412,1640431927,0.433851348,1,0,1,1,42,3850,49,1,89,1464,2632,53,1
14088934,1637782961,0.511914357,1,1,1,1,43,2126,84,1,81,1486,2897,26,1
15450240,1646709504,0.576882378,1,1,1,1,108,2671,40,1,76,1738,3958,56,1
15450240,1658162769,0.482421869,1,1,1,1,44,2452,57,1,176,2724,3199,62,1
15165717,1650600207,0,1,1,1,1,103,1015,46,1,83,1519,3607,55,1
15450240,1647801048,0.508070082,0,1,1,1,37,1681,84,1,84,1454,4254,55,1
15450240,1661999151,0.555980626,1,1,1,1,40,2926,29,1,152,2139,5425,57,1
13951294,1524145611,0.024754641,0,0,0,1,30,1060,63,1,30,1150,1283,0,0
15176852,1524145611,0.530196036,1,0,1,1,32,1448,30,1,31,1369,4445,54,0
6310615,1524145611,0,1,0,0,0,36,1159,82,2,88,1690,1181,0,0
6292691,1524145611,0,1,1,1,1,41,1594,59,1,111,1452,3193,56,0
5814884,1524145611,0,1,0,0,0,44,1307,83,2,81,1635,2489,25,0
15450240,1651837033,0.406894573,1,1,1,1,136,2824,52,1,98,1929,4783,52,1
15450240,1658394388,0.402257363,1,1,1,1,89,1654,56,1,106,1527,3098,55,1
15450240,1655942889,0.570961068,1,1,1,1,102,2551,75,2,64,1654,4205,55,1
15450240,1524145611,0.439348874,1,1,1,1,33,904,64,2,53,1443,3360,53,1
15450240,1658527783,0.441289625,1,1,1,1,180,1532,70,1,90,1411,4527,54,1
5697004,1531014419,0,0,0,0,1,35,1670,36,2,86,1499,1745,27,0
5657397,1524145611,0,1,0,0,0,45,1027,66,3,110,1531,2314,26,0
6115356,1531117061,0,1,0,0,1,30,1282,71,2,38,1333,2091,25,0
5973838,1524145611,0.020663847,0,0,0,1,30,1755,60,2,65,1322,921,0,0
5617095,1524145611,0,0,0,0,1,43,900,58,2,88,1500,2903,52,0
6719745,1524145611,0.00227423,1,0,0,0,74,1084,81,1,114,2894,4344,1,0
5984920,1524145611,0,1,0,0,0,35,1521,89,2,104,1365,3924,58,0
15450240,1653258758,0.495601991,1,1,1,1,189,1742,79,1,77,3015,5533,50,1
15450240,1655279358,0.433438863,1,1,1,1,116,2867,54,1,103,1800,6363,58,1
5932066,1524145611,0,0,1,1,1,43,1667,62,1,92,3152,2878,52,1
5921945,1653558180,0,0,0,0,1,62,2152,51,3,96,1620,2388,27,0
6706003,1524287982,0.033814956,1,0,0,1,42,1647,51,3,113,1150,1446,55,0
15431792,1641108252,0.552628774,1,1,1,1,68,1747,64,1,93,1348,3182,56,0
5956085,1524145611,0,1,0,0,1,38,2415,54,1,91,1580,2400,0,0
15450240,1661999151,0.492306076,1,1,1,1,116,1669,31,3,109,1676,5045,28,1
15450240,1652330732,0.523215555,1,1,1,1,36,2711,65,3,294,1282,4881,51,1
6034237,1524145611,0,1,0,0,1,30,995,85,2,61,1265,3272,24,0
5569878,1532276990,0.026341082,1,0,0,1,46,2667,49,1,95,2035,2094,0,0
5468684,1526287257,0,1,1,0,1,41,1582,77,2,81,1354,2983,0,1
15450240,1570308086,0,1,0,0,1,105,1420,60,1,171,1463,2439,30,1
5861682,1524145611,0,1,0,0,1,98,910,39,2,57,1506,2761,26,0
15450240,1660045637,0,1,1,1,1,44,2769,68,2,112,2841,5619,58,1
15450240,1524145611,0.476776782,0,0,0,1,53,780,70,1,92,3135,5213,51,0
5695844,1525643438,0,1,0,0,1,131,1812,61,2,37,1835,2822,0,0
6000804,1528781236,0,0,0,0,1,60,1697,60,1,70,1516,2619,25,0
15001912,1645316416,0,1,1,1,1,69,1616,47,2,50,1662,5290,23,0
6277828,1524145611,0,1,0,1,1,102,2796,61,1,40,1583,2098,25,0
6432865,1610622151,0.498829782,1,1,0,1,42,1650,52,2,125,1285,2458,0,0
5796607,1526262513,0,1,0,1,1,36,1450,39,1,106,1771,2844,57,0
5468684,1524145611,0,0,0,0,1,55,1312,64,3,34,1281,1315,0,0
15450240,1661999151,0,1,1,1,1,101,1605,33,2,94,1723,2522,55,0
5674886,1524145611,0,1,1,0,1,68,1565,22,2,94,1518,2818,29,0
5589256,1524145611,0,1,0,0,1,64,929,60,2,98,1612,2305,26,0
15450240,1524966310,0,0,0,0,1,74,953,61,1,113,1567,2939,25,0
12983241,1524145611,0,1,0,0,1,105,1613,75,3,119,2785,5180,53,0
5907893,1524145611,0,0,0,0,1,40,1298,58,2,79,1510,1519,0,0
15236238,1646988220,0.54266582,1,1,1,1,130,2344,36,1,92,2885,5843,51,1
15450240,1524945835,0,1,0,1,1,30,1714,73,2,67,1422,2522,25,1
5603100,1524145611,0,1,0,0,0,40,979,58,2,49,1562,921,0,0
15450240,1524145611,0.513154562,1,1,1,1,37,1175,56,1,68,1274,3375,32,1
15450240,1649223767,0.436078802,1,1,1,1,59,920,48,1,64,1239,3939,50,1
15450240,1661999151,0.51683005,1,1,1,1,37,2956,54,1,152,1392,5330,59,1
15266294,1653225572,0.418288793,1,1,1,1,72,3293,78,1,97,1369,3699,58,1
5552579,1528809640,0,1,0,0,1,107,1695,52,2,71,1446,1553,0,0
6021436,1524804014,0,1,0,0,0,42,1659,50,2,35,1848,971,0,0
11510944,1524145611,0,0,0,0,1,31,1151,51,1,54,1326,1223,30,0
5573687,1525978811,0,1,0,0,1,58,890,43,2,96,1501,1494,0,0
6120015,1524145611,0,1,0,0,1,53,1376,87,2,91,1273,2615,0,0
15450240,1642820943,0.570669375,1,0,1,1,88,1385,44,1,104,1818,5952,26,1
15450240,1532060472,0.018510454,1,0,0,1,63,980,70,2,98,2812,3426,55,1
15450240,1652302375,0.468177442,1,1,1,1,78,2722,44,1,52,2873,5349,53,1
6068391,1524145611,0,1,0,1,1,60,1369,92,1,72,1626,4544,26,0
15450240,1654002551,0.525386704,1,1,1,1,148,2330,74,3,166,1636,5509,56,1
6435539,1524454906,0.006466319,1,1,0,1,36,1750,82,3,94,1662,3325,56,0
5829249,1524145611,0,0,0,0,1,66,3792,12,1,80,1707,2178,0,0
15450240,1654667902,0.506462152,1,0,1,1,101,2773,74,1,52,2156,2156,0,1
5598490,1524145611,0,1,0,0,0,67,1495,81,2,107,1419,921,23,0
5753832,1527366555,0,1,0,0,1,36,821,57,2,107,1501,2272,27,0
14539825,1654683297,0,1,0,1,1,39,1333,59,1,81,1624,2941,52,1
15450240,1656896444,0.427159959,1,1,1,1,105,1486,78,3,77,1522,5658,59,0
5968729,1524145611,0,1,0,0,0,66,1374,86,2,69,1790,2605,28,0
6224268,1524145611,0,1,0,0,1,30,1674,78,2,63,1248,1866,0,1
5526519,1617655057,0,0,0,0,1,62,1394,53,2,40,1621,3034,26,0
15055853,1646389824,0.527276993,1,1,1,1,118,1481,74,1,30,1609,4960,50,1
14569299,1650995532,0.476461087,1,1,1,1,157,3062,51,1,82,1489,4742,60,1
15450240,1661999151,0.505534586,1,0,1,1,47,3069,2,1,76,2369,4055,56,1
15450240,1531143383,0,1,1,1,1,183,1362,90,1,126,1575,2057,56,1
5548625,1528814981,0,1,0,0,1,30,1699,85,2,30,1336,2319,26,0
15450240,1661999151,0.432695183,1,1,1,1,71,866,49,1,78,2850,5322,53,1
15450240,1659047543,0.476414027,1,1,1,1,108,1991,81,1,83,2740,5056,53,1
14608734,1524145611,0.449991331,1,0,1,1,31,956,78,1,79,921,2074,54,1
6058721,1524145611,0,1,0,0,1,35,3850,62,3,75,1428,2416,0,0
5468684,1525249701,0,0,0,0,1,40,1355,48,2,76,1397,1554,0,0
6370184,1524145611,0,1,0,0,1,49,1376,32,2,93,1915,2150,0,0
5773645,1529169673,0,1,0,0,1,48,2056,59,3,108,1341,1795,26,0
15450240,1526887517,0.531326417,1,1,1,1,66,879,31,2,95,1602,3499,57,0
6184093,1524145611,0,1,0,0,1,61,1675,48,2,89,1539,3427,27,0
15272337,1531696706,0.489345761,1,1,1,1,104,3092,81,1,104,2315,5374,53,1
15405295,1658637266,0.468596894,1,0,1,1,58,833,56,1,82,2816,3821,62,0
5708221,1524145611,0,0,0,0,1,83,920,46,1,66,1586,3005,30,0
15450240,1587381358,0.501664416,0,1,0,1,30,3142,63,3,83,1447,3497,57,1
6174234,1524145611,0.01699115,0,0,0,1,51,1631,85,2,58,1540,975,0,0
5468684,1525452892,0,1,0,0,1,41,1680,49,2,56,1192,3952,24,0
15138903,1524145611,0.474389424,1,1,1,1,101,1158,59,1,41,1595,4108,58,1
15450240,1661999151,0.484015567,1,1,1,1,59,1683,39,3,110,1651,6558,0,1
6639622,1524145611,0.007948847,1,0,0,0,93,1181,74,1,116,1720,1969,32,0
5536402,1539388022,0.008303904,1,1,1,1,36,948,74,1,100,1337,2576,57,1
5468684,1524145611,0.006503591,0,0,0,1,45,794,44,1,205,1485,1381,28,0
15450240,1524145611,0.039130773,1,0,0,0,63,1450,76,3,71,2464,3265,26,0
15450240,1647121121,0.462530463,1,1,1,1,45,2823,76,1,79,1307,2902,59,1
5831008,1526640973,0.006276647,1,0,0,0,46,1483,75,2,152,1117,1681,25,0
6191363,1524145611,0,1,0,0,1,67,1347,72,1,112,1655,2311,22,0
5965814,1657388582,0,1,0,0,1,45,828,35,1,108,2588,2723,30,1
6419580,1524145611,0.030001697,1,0,0,0,60,2579,81,2,51,1626,3274,0,0
13090209,1645002165,0,1,0,0,0,39,1730,30,1,91,2771,2079,0,0
15196192,1660813698,0.534897037,1,1,1,1,101,934,22,1,55,1453,2341,55,1
15450240,1643607228,0.469439402,1,1,1,1,47,1187,59,1,30,2496,3788,22,1
5947124,1529227031,0.005713465,0,0,0,1,45,956,85,1,51,1696,2315,26,0
15450240,1653910166,0.473106995,1,1,1,1,168,3850,63,2,120,1766,5803,54,1
6279831,1524145611,0.023159414,0,0,0,1,63,764,24,2,67,1702,1734,0,0
5631214,1524145611,0,1,0,0,1,47,1079,34,1,109,1554,3142,0,0
5468684,1524145611,0.003232447,1,0,0,1,68,845,84,2,92,1416,3591,30,0
15450240,1650872262,0.414151654,1,1,1,1,41,3733,83,1,94,2303,4039,56,1
15034014,1661999151,0.55903092,1,1,1,1,97,2288,78,1,53,1440,4752,24,1
15450240,1633765873,0.498401249,1,1,1,1,122,2904,89,1,190,1963,3032,54,1
5868806,1524145611,0,1,1,1,1,43,783,64,1,123,1738,5829,56,1
15450240,1649375782,0.451322927,1,1,1,1,63,1453,418,2,89,1458,3186,56,1
15450240,1654590911,0.449737822,1,1,1,1,69,2435,49,2,103,1633,2741,27,1
5822925,1571171475,0,1,0,0,1,37,642,35,2,109,1304,2827,0,0
15450240,1658207936,0,1,1,1,1,38,2765,63,3,74,2273,3282,25,1
15450240,1661999151,0.559992444,1,1,1,1,105,2175,52,1,84,1450,3786,30,1
15450240,1647106590,0.448673371,1,1,1,1,105,1637,73,1,62,2739,6170,51,1
15450240,1650683081,0.49959887,1,1,1,1,106,2785,53,3,108,1353,4868,58,1
15450240,1650351124,0.46107743,1,1,1,1,42,1575,61,1,294,1591,6992,56,1
5645543,1524145611,0,1,0,0,1,47,1738,36,2,37,1545,2824,29,0
14845065,1651671640,0,1,1,1,1,68,2226,92,3,109,2184,4221,52,1
5543687,1524145611,0,0,0,0,1,121,1504,74,2,45,1336,3975,0,0
5867137,1524145611,0,1,0,0,0,32,996,79,3,58,1230,2444,24,0
14605957,1524145611,0.007656075,1,0,0,0,46,1482,55,2,84,1581,3578,26,0
5468684,1524145611,0.00257125,1,0,0,1,122,877,79,2,81,1530,3711,52,0
15450240,1649118493,0.453584108,1,1,1,1,114,2845,69,3,109,2675,5388,55,1
13299519,1533713259,0,1,0,1,1,42,966,47,1,93,1340,1074,26,0
15450240,1659315909,0.501362621,1,0,0,0,98,1510,64,1,67,1642,3945,55,0
15313445,1661999151,0.525191874,1,1,1,1,48,1328,60,1,86,2292,4281,55,1
15450240,1652266128,0.545704365,1,1,1,1,110,1694,74,2,274,2624,5147,55,1
5952272,1649211141,0,1,0,1,1,40,1330,42,1,85,1802,3554,28,0
5468684,1559886285,0.476428921,0,0,0,1,39,1049,52,3,94,1400,2346,28,0
11773734,1524145611,0,0,0,0,1,66,1484,52,3,60,1525,4524,56,0
12245750,1529659066,0,1,0,0,1,74,1005,51,1,96,1646,3204,26,1
